iter	Passed	Remaining
0	115	115856
1	117	58404
2	118	39227
3	118	29602
4	119	23844
5	120	20031
6	122	17308
7	122	15242
8	123	13633
9	125	12384
10	125	11325
11	127	10460
12	128	9724
13	129	9103
14	130	8567
15	131	8080
16	133	7701
17	134	7336
18	136	7034
19	137	6746
20	138	6473
21	139	6222
22	140	5987
23	142	5775
24	143	5581
25	144	5394
26	145	5249
27	147	5104
28	149	4997
29	150	4864
30	151	4734
31	152	4608
32	153	4492
33	154	4388
34	155	4289
35	156	4191
36	157	4100
37	158	4013
38	159	3930
39	160	3850
40	161	3774
41	162	3703
42	163	3636
43	164	3568
44	165	3506
45	166	3445
46	167	3388
47	168	3332
48	169	3280
49	169	3228
50	170	3178
51	171	3132
52	172	3088
53	173	3046
54	174	3005
55	176	2968
56	177	2932
57	178	2893
58	179	2856
59	180	2820
60	181	2788
61	182	2756
62	183	2723
63	184	2693
64	185	2663
65	186	2634
66	187	2605
67	187	2573
68	188	2546
69	189	2521
70	190	2495
71	192	2475
72	193	2455
73	195	2450
74	198	2445
75	199	2427
76	200	2404
77	201	2382
78	202	2361
79	204	2357
80	206	2344
81	207	2326
82	208	2306
83	209	2286
84	210	2263
85	211	2243
86	211	2221
87	212	2206
88	214	2192
89	215	2181
90	216	2165
91	218	2155
92	219	2141
93	220	2125
94	221	2108
95	222	2091
96	223	2076
97	224	2070
98	226	2057
99	228	2056
100	231	2060
101	232	2047
102	233	2033
103	234	2019
104	235	2006
105	236	1995
106	237	1983
107	238	1970
108	239	1957
109	241	1951
110	242	1941
111	244	1936
112	245	1926
113	246	1914
114	247	1906
115	248	1893
116	249	1884
117	250	1872
118	251	1860
119	252	1850
120	254	1846
121	255	1838
122	256	1830
123	258	1822
124	258	1812
125	259	1802
126	261	1797
127	262	1789
128	263	1781
129	264	1771
130	265	1762
131	267	1755
132	268	1751
133	269	1744
134	271	1737
135	272	1728
136	273	1721
137	274	1714
138	275	1707
139	276	1699
140	277	1691
141	279	1686
142	280	1682
143	282	1676
144	283	1669
145	284	1662
146	285	1656
147	286	1648
148	287	1642
149	288	1634
150	289	1627
151	290	1620
152	291	1616
153	293	1613
154	294	1608
155	296	1602
156	297	1596
157	298	1591
158	299	1583
159	300	1577
160	301	1571
161	302	1564
162	303	1559
163	305	1555
164	306	1553
165	308	1548
166	309	1542
167	310	1538
168	311	1533
169	312	1527
170	314	1523
171	315	1517
172	316	1513
173	318	1510
174	320	1509
175	321	1505
176	322	1500
177	323	1495
178	324	1490
179	325	1484
180	326	1476
181	327	1472
182	328	1466
183	329	1463
184	331	1460
185	332	1456
186	334	1452
187	335	1447
188	336	1445
189	338	1441
190	339	1439
191	344	1448
192	345	1446
193	347	1442
194	348	1438
195	349	1434
196	350	1429
197	351	1425
198	353	1421
199	354	1418
200	356	1416
201	357	1412
202	358	1408
203	359	1403
204	360	1399
205	361	1395
206	363	1390
207	364	1386
208	364	1381
209	366	1379
210	368	1377
211	369	1374
212	370	1370
213	372	1368
214	374	1365
215	375	1361
216	376	1357
217	377	1355
218	379	1353
219	381	1353
220	382	1349
221	383	1345
222	385	1344
223	387	1340
224	387	1336
225	388	1332
226	390	1329
227	391	1326
228	393	1324
229	394	1322
230	395	1317
231	397	1315
232	398	1311
233	399	1307
234	400	1303
235	401	1299
236	402	1296
237	403	1293
238	419	1336
239	420	1332
240	421	1327
241	422	1324
242	424	1323
243	427	1323
244	428	1321
245	430	1319
246	432	1318
247	433	1315
248	435	1313
249	437	1311
250	438	1307
251	438	1302
252	439	1298
253	440	1294
254	441	1291
255	442	1287
256	444	1284
257	445	1281
258	447	1279
259	448	1277
260	449	1273
261	450	1269
262	451	1265
263	452	1261
264	453	1257
265	454	1255
266	456	1252
267	457	1248
268	458	1245
269	459	1242
270	460	1239
271	462	1237
272	463	1234
273	464	1230
274	465	1226
275	466	1222
276	467	1219
277	468	1215
278	469	1212
279	470	1209
280	471	1206
281	472	1203
282	473	1199
283	474	1196
284	475	1192
285	476	1188
286	477	1185
287	477	1181
288	478	1177
289	479	1173
290	480	1170
291	481	1167
292	482	1163
293	482	1159
294	483	1156
295	484	1152
296	485	1149
297	486	1145
298	487	1142
299	488	1139
300	489	1136
301	490	1134
302	491	1131
303	492	1128
304	494	1125
305	495	1124
306	497	1123
307	498	1120
308	500	1118
309	501	1115
310	502	1112
311	502	1108
312	503	1105
313	504	1102
314	505	1098
315	506	1096
316	507	1093
317	508	1089
318	508	1086
319	509	1083
320	511	1081
321	512	1078
322	514	1078
323	515	1075
324	516	1072
325	517	1069
326	518	1066
327	519	1063
328	520	1060
329	520	1057
330	521	1054
331	522	1051
332	524	1049
333	525	1048
334	527	1046
335	529	1045
336	530	1043
337	531	1040
338	532	1038
339	533	1036
340	534	1033
341	535	1030
342	537	1028
343	538	1026
344	540	1025
345	541	1022
346	542	1020
347	543	1017
348	544	1015
349	545	1012
350	545	1009
351	546	1006
352	547	1003
353	548	1000
354	549	998
355	551	996
356	552	995
357	554	993
358	554	990
359	555	988
360	556	985
361	557	983
362	558	980
363	559	978
364	560	975
365	561	973
366	563	972
367	566	972
368	567	969
369	568	967
370	569	965
371	570	963
372	571	961
373	572	958
374	573	955
375	574	953
376	576	953
377	577	950
378	579	949
379	580	946
380	581	944
381	582	942
382	583	940
383	584	937
384	585	935
385	586	933
386	589	933
387	590	931
388	592	930
389	593	927
390	593	925
391	594	922
392	596	920
393	597	918
394	598	916
395	599	914
396	601	913
397	604	913
398	605	911
399	606	909
400	607	907
401	609	905
402	609	903
403	610	901
404	612	900
405	614	899
406	616	897
407	617	896
408	618	894
409	620	892
410	621	890
411	622	887
412	623	885
413	625	885
414	627	883
415	628	882
416	629	880
417	630	877
418	632	876
419	633	874
420	634	872
421	635	870
422	636	867
423	638	867
424	639	865
425	641	863
426	642	861
427	643	859
428	645	858
429	646	856
430	647	854
431	648	852
432	649	850
433	650	848
434	652	846
435	653	844
436	654	842
437	655	840
438	656	839
439	658	837
440	659	835
441	660	833
442	662	833
443	665	832
444	666	831
445	667	829
446	669	827
447	670	826
448	671	823
449	672	822
450	674	820
451	675	819
452	677	817
453	678	815
454	679	813
455	681	813
456	682	811
457	683	809
458	684	806
459	685	804
460	688	804
461	689	803
462	691	801
463	692	799
464	693	797
465	694	795
466	695	793
467	696	791
468	697	789
469	698	787
470	698	785
471	700	783
472	702	782
473	703	780
474	704	778
475	706	777
476	707	776
477	709	774
478	710	773
479	711	771
480	713	770
481	715	769
482	717	767
483	717	765
484	718	763
485	720	762
486	721	760
487	722	758
488	723	756
489	724	754
490	725	751
491	726	750
492	728	749
493	729	747
494	730	745
495	731	743
496	732	741
497	733	739
498	734	737
499	735	735
500	736	733
501	737	731
502	738	729
503	739	728
504	741	726
505	742	725
506	743	723
507	744	721
508	745	719
509	746	717
510	747	715
511	748	713
512	749	711
513	750	709
514	751	708
515	753	706
516	754	705
517	755	703
518	756	701
519	757	699
520	758	697
521	759	695
522	760	693
523	761	691
524	762	689
525	763	687
526	764	685
527	765	684
528	767	682
529	768	681
530	769	679
531	770	677
532	771	676
533	773	674
534	774	673
535	775	671
536	777	670
537	779	668
538	780	667
539	781	665
540	782	663
541	783	662
542	784	660
543	785	658
544	786	656
545	787	654
546	788	652
547	789	651
548	790	649
549	792	648
550	793	646
551	794	644
552	796	643
553	797	642
554	798	640
555	799	638
556	800	636
557	801	634
558	802	633
559	803	631
560	805	630
561	806	628
562	807	627
563	809	625
564	810	623
565	811	621
566	812	620
567	812	618
568	813	616
569	815	614
570	817	614
571	819	613
572	820	611
573	821	609
574	822	607
575	824	606
576	825	605
577	826	603
578	828	602
579	829	600
580	830	599
581	832	598
582	833	596
583	834	594
584	835	592
585	836	591
586	837	589
587	838	587
588	839	585
589	840	584
590	841	582
591	842	580
592	843	579
593	845	578
594	846	576
595	847	574
596	848	573
597	849	571
598	850	569
599	851	567
600	852	566
601	853	564
602	854	562
603	856	561
604	857	559
605	858	558
606	859	556
607	860	554
608	861	553
609	862	551
610	863	549
611	864	548
612	865	546
613	866	544
614	867	542
615	868	541
616	870	540
617	870	538
618	871	536
619	872	534
620	873	533
621	874	531
622	912	552
623	914	550
624	915	549
625	917	548
626	919	546
627	920	545
628	921	543
629	922	541
630	934	546
631	935	544
632	937	543
633	939	542
634	940	540
635	942	539
636	943	537
637	945	536
638	946	534
639	947	532
640	948	531
641	951	530
642	952	528
643	953	526
644	954	525
645	955	523
646	957	522
647	960	521
648	961	519
649	962	518
650	963	516
651	964	514
652	965	513
653	967	512
654	970	511
655	971	509
656	972	507
657	974	506
658	975	504
659	976	503
660	977	501
661	978	499
662	980	498
663	983	497
664	984	495
665	985	494
666	986	492
667	987	490
668	988	489
669	989	487
670	990	485
671	991	484
672	993	482
673	996	481
674	997	480
675	998	478
676	999	476
677	1000	475
678	1002	473
679	1003	472
680	1004	470
681	1005	469
682	1007	467
683	1008	465
684	1009	464
685	1010	462
686	1011	461
687	1012	459
688	1013	457
689	1015	456
690	1015	454
691	1016	452
692	1018	451
693	1021	450
694	1022	448
695	1022	446
696	1024	445
697	1025	443
698	1026	441
699	1027	440
700	1028	438
701	1029	437
702	1031	435
703	1034	434
704	1035	433
705	1035	431
706	1036	429
707	1037	428
708	1039	426
709	1040	424
710	1041	423
711	1041	421
712	1044	420
713	1046	419
714	1047	417
715	1048	415
716	1049	414
717	1050	412
718	1051	411
719	1052	409
720	1053	407
721	1054	405
722	1055	404
723	1057	403
724	1059	401
725	1060	400
726	1061	398
727	1062	396
728	1063	395
729	1064	393
730	1065	392
731	1066	390
